Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,crypto1,general1,java1,networking1,crypto2,general2,java2,networking2,cosine_similarity,class
34596,34573,14.37,29.89,0.0,0.0,1.0,1.0,0.0,21.04,27.57,23.1,25.87,14.83,21.5,17.15,20.15,0.999,dup
34576,24327,23.11,22.12,0.0,0.0,1.0,1.0,0.0,8.25,21.93,19.12,17.94,11.68,16.89,16.26,11.56,0.978,dup
34479,33962,5.48,0.84,0.0,0.0,1.0,1.0,0.0,21.22,33.14,24.13,27.76,7.46,12.53,11.5,7.92,0.985,dup
34479,33904,10.75,4.67,0.0,0.0,1.0,1.0,0.0,21.22,33.14,24.13,27.76,13.87,26.52,20.06,21.24,0.997,dup
34479,33872,10.66,2.59,0.0,1.0,1.0,1.0,0.0,21.22,33.14,24.13,27.76,12.72,22.01,15.24,20.61,0.997,dup
34479,33867,6.08,2.69,0.0,1.0,1.0,1.0,0.0,21.22,33.14,24.13,27.76,10.16,21.59,13.99,16.14,0.995,dup
34479,33859,21.61,21.21,0.0,1.0,1.0,1.0,0.05,21.22,33.14,24.13,27.76,13.81,29.85,20.71,23.66,0.995,dup
34479,33841,16.58,17.56,0.0,1.0,1.0,0.5,0.05,21.22,33.14,24.13,27.76,15.8,23.32,19.97,19.5,0.998,dup
34460,34282,6.21,0.0,0.0,1.0,1.0,1.0,0.05,5.55,19.49,9.43,8.12,11.1,23.02,16.52,17.7,0.967,dup
34460,34081,3.98,0.0,0.0,0.0,1.0,1.0,0.05,5.55,19.49,9.43,8.12,8.93,20.49,14.24,18.47,0.954,dup
34451,34307,6.71,0.0,0.0,1.0,1.0,1.0,0.0,18.06,32.19,22.23,23.86,20.41,30.56,26.46,27.36,0.995,dup
34451,33985,5.2,0.0,0.0,1.0,1.0,0.33,0.0,18.06,32.19,22.23,23.86,11.11,18.52,19.49,19.49,0.983,dup
34397,33938,8.25,2.03,0.0,0.0,1.0,1.0,0.05,19.12,33.58,22.4,24.36,10.37,16.5,13.87,11.62,0.995,dup
34307,33985,5.04,0.95,0.0,1.0,1.0,0.33,0.0,20.41,30.56,26.46,27.36,11.11,18.52,19.49,19.49,0.994,dup
