Bug 1,Bug 2,bmfu,bmfb,prod,comp,type,prior,vers,class
28870,6283,3.2466,0.0,0.0,0.0,0.0,1.0,0.0,dup
28870,4153,5.8857,1.9894,0.0,0.0,1.0,1.0,0.3846,dup
28870,3029,2.4245,0.0,0.0,0.0,0.0,1.0,0.0,dup
28870,3027,2.4245,0.0,0.0,0.0,1.0,1.0,0.0,dup
28870,1618,11.6208,6.4059,0.0,0.0,0.0,1.0,0.0,dup
28825,28824,36.9227,77.9677,0.0,0.0,1.0,1.0,0.0,dup
28803,24531,6.4217,2.0416,0.0,0.0,0.0,1.0,0.2,dup
28717,28716,32.6344,57.0134,0.0,1.0,1.0,1.0,0.0,dup
28715,28601,23.9326,29.1366,0.0,1.0,1.0,1.0,0.0,dup
28715,28583,19.691,30.4958,0.0,1.0,1.0,1.0,0.0,dup
28678,28626,7.0509,2.1512,0.0,1.0,1.0,1.0,0.0,dup
28678,28612,21.154,20.2485,0.0,1.0,1.0,1.0,0.0,dup
28678,28599,30.0082,30.7827,0.0,1.0,1.0,1.0,0.0,dup
28678,28591,19.4379,17.1751,0.0,1.0,1.0,1.0,0.0,dup
28678,28571,9.842,9.8832,0.0,1.0,1.0,1.0,0.0,dup
28678,28569,19.4236,16.449,0.0,1.0,1.0,1.0,0.0,dup
28678,28563,30.7616,31.5833,0.0,1.0,1.0,1.0,0.0,dup
28678,28558,16.7108,15.4052,0.0,1.0,1.0,1.0,0.0,dup
28678,28531,18.2643,17.3973,0.0,1.0,1.0,1.0,0.0,dup
28678,28529,30.7623,32.4575,0.0,1.0,1.0,1.0,0.0,dup
28678,28522,30.3579,30.2256,0.0,1.0,1.0,1.0,0.0,dup
28678,28519,20.1904,19.9497,0.0,1.0,1.0,1.0,0.0,dup
28678,28516,12.7193,13.5857,0.0,1.0,1.0,1.0,0.0,dup
28678,28515,17.5436,17.1557,0.0,1.0,1.0,1.0,0.0,dup
28626,28612,8.2894,1.4782,0.0,1.0,1.0,1.0,0.0,dup
28626,28599,10.2914,4.7559,0.0,1.0,1.0,1.0,0.0,dup
28626,28591,8.8155,3.4881,0.0,1.0,1.0,1.0,0.0,dup
28626,28571,1.9673,0.0,0.0,1.0,1.0,1.0,0.0,dup
28626,28569,11.8735,3.7232,0.0,1.0,1.0,1.0,0.0,dup
28626,28563,13.7822,8.2223,0.0,1.0,1.0,1.0,0.0,dup
28626,28558,6.4065,1.4782,0.0,1.0,1.0,1.0,0.0,dup
28626,28531,6.1494,1.4782,0.0,1.0,1.0,1.0,0.0,dup
28626,28529,19.2783,13.2234,0.0,1.0,1.0,1.0,0.0,dup
28626,28522,13.7822,5.7331,0.0,1.0,1.0,1.0,0.0,dup
28626,28519,8.5434,6.5088,0.0,1.0,1.0,1.0,0.0,dup
28626,28516,4.2746,1.4782,0.0,1.0,1.0,1.0,0.0,dup
28626,28515,8.7087,4.9277,0.0,1.0,1.0,1.0,0.0,dup
28621,28620,31.875,76.7502,0.0,0.0,1.0,1.0,0.0,dup
28621,28619,31.875,76.7502,0.0,0.0,1.0,1.0,0.0,dup
28620,28619,31.875,76.7502,0.0,0.0,1.0,1.0,0.0,dup
28612,28599,51.8696,78.5139,0.0,1.0,1.0,1.0,0.0,dup
28612,28591,15.2618,17.1582,0.0,1.0,1.0,1.0,0.0,dup
28612,28571,8.6439,8.5733,0.0,1.0,1.0,1.0,0.0,dup
28612,28569,18.5377,23.3928,0.0,1.0,1.0,1.0,0.0,dup
28612,28563,50.083,77.5501,0.0,1.0,1.0,1.0,0.0,dup
28612,28558,17.142,22.408,0.0,1.0,1.0,1.0,0.0,dup
28612,28531,18.8333,22.3745,0.0,1.0,1.0,1.0,0.0,dup
28612,28529,47.2594,70.772,0.0,1.0,1.0,1.0,0.0,dup
